销售订单行号,产品编码,产品名称,母件编码,子件编码,子件名称,子工序,子工序名称,数量,子件编码对应的属性,任务号,前置任务号,后置任务号,开始时间,完成时间,设备编号
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030244,套管，蓝,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030245,套管，橙,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030246,套管，绿,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030247,套管，棕,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030248,套管，灰,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030249,套管，白,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030250,套管，红,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030251,套管，黑,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000030252,套管，黄,成缆子工序,0.26948531249999996,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000051867,钢丝,成缆子工序,28.4116393125,半成品,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000239089,"扎纱,淡黄",成缆子工序,0.006835725000000001,原材料,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000275219,"扎纱,淡紫",成缆子工序,0.0502162875,原材料,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270999,缆芯,8000225974,填充料,成缆子工序,2.6538387749999997,原材料,0,0,0,30,30.2629125,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030254,套管，红,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030244,套管，蓝,二次成缆子工序,0.7017840000000001,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030251,套管，黑,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030249,套管，白,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030248,套管，灰,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030252,套管，黄,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030253,套管，紫,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
7000007355-10,8000269602,成品5,8000270355,缆芯,8000030247,套管，棕,二次成缆子工序,0.35089200000000004,半成品,0,0,0,70,70.342,SZ17
